"ORF1p"	"ORF2p"	"genomic_location"
"LINE_1_PA2_30_ORF1p"	"LINE_1_PA2_30_ORF2p"	"hg38_rmsk_L1PA2 range=chr5:139005424-139011486 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_PA2_31_ORF1p"	"LINE_1_PA2_31_ORF2p"	"hg38_rmsk_L1PA2 range=chr5:39787653-39793671 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_32_ORF1p"	"LINE_1_PA2_32_ORF2p"	"hg38_rmsk_L1PA2 range=chr6:104489394-104495424 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_33_ORF1p"	"LINE_1_PA2_33_ORF2p"	"hg38_rmsk_L1PA2 range=chr6:156361255-156367276 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_34_ORF1p"	"LINE_1_PA2_34_ORF2p"	"hg38_rmsk_L1PA2 range=chr6:44870635-44876665 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_35_ORF1p"	"LINE_1_PA2_35_ORF2p"	"hg38_rmsk_L1PA2 range=chr8:120348978-120354404 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_4_ORF1p"	"LINE_1_PA2_4_ORF2p"	"hg38_rmsk_L1PA2 range=chr8:72147448-72153464 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_PA2_5_ORF1p"	"LINE_1_PA2_5_ORF2p"	"hg38_rmsk_L1PA2 range=chr8:91558669-91564687 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_6_ORF1p"	"LINE_1_PA2_6_ORF2p"	"hg38_rmsk_L1PA2 range=chr8_KI270926v1_alt:20774-26750 5'pad=0 3'pad=0 strand=+ repeatMasking=none"
"LINE_1_PA2_7_ORF1p"	"LINE_1_PA2_7_ORF2p"	"hg38_rmsk_L1PA2 range=chr9:19536201-19542230 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_PA2_8_ORF1p"	"LINE_1_PA2_8_ORF2p"	"hg38_rmsk_L1PA2 range=chrX:36465195-36471217 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_PA2_9_ORF1p"	"LINE_1_PA2_9_ORF2p"	"hg38_rmsk_L1PA2 range=chrX:47783672-47789697 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_PA3_1_ORF1p"	"LINE_1_PA3_1_ORF2p"	"hg38_rmsk_L1PA3 range=chr6:107854716-107860748 5'pad=0 3'pad=0 strand=- repeatMasking=none"
"LINE_1_HOT_1_ORF1p"	"LINE_1_HOT_1_ORF2p"	"AC002980.1 Homo sapiens Xp22 BAC 620F15 (Genome Systems BAC library) complete sequence"
"LINE_1_HOT_2_ORF1p"	"LINE_1_HOT_2_ORF2p"	"AC004200.1 Homo sapiens clone UWGC:y2c106 from 6p21, complete sequence"
"LINE_1_HOT_3_ORF1p"	"LINE_1_HOT_3_ORF2p"	"AC021017.4 Homo sapiens BAC clone RP11-382E10 from 8, complete sequence"
"LINE_1_HOT_4_ORF1p"	"LINE_1_HOT_4_ORF2p"	"AL137845.9 Human DNA sequence from clone RP5-961K14 on chromosome X, complete sequence"
"LINE_1_HOT_5_ORF1p"	"LINE_1_HOT_5_ORF2p"	"AL356438.15 Human DNA sequence from clone RP11-347H8 on chromosome 6, complete sequence"
"LINE_1_HOT_6_ORF1p"	"LINE_1_HOT_6_ORF2p"	"AL512428.13 Human DNA sequence from clone RP11-373L11 on chromosome 6, complete sequence"
